Name	o.rank	d.rank	g.rank	bib	age
Frederic Bard	1316	174	1100	1561	37
Jason Barletta	1772	217	1387	1563	35
Eddy Baynham	1269	166	1063	1564	38
Benoit Beland	1398	186	1156	1565	36
Nicolas Belanger	DNS	NA	NA	1566	34
Jose Benitez	1598	202	1284	1567	39
David Benoit	1591	200	1278	1568	38
Benjamin Blake	266	45	240	1569	38
Elinore Stabert	1035	16	149	156	27
Drew Blanchette	1848	221	1429	1570	38
Charles Bobal	1078	147	919	1571	34
Joshua Boles	DNF	NA	NA	1572	39
Joel Bonniez	1876	222	1445	1573	34
Dominic Bouchard	DNF	NA	NA	1574	39
Sebastien Bouchard	837	120	730	1575	35
Mathieu Boucher	531	83	462	1576	39
Erick Brandt	214	37	195	1577	38
Brian Breck	816	118	711	1578	35
Olivier Breton	248	41	226	1579	38
Allison Wong	807	11	104	157	27
Rudy Brochu	211	36	192	1580	37
Patrice Brunelle	1194	156	1003	1581	37
Thomas Burt	315	58	282	1582	37
Jean-Philippe Buteau	954	130	820	1583	36
Philip Carlson	1709	213	1351	1584	38
Benjamin Cavez	582	91	507	1585	36
Shawn Chevalier	2107	233	1580	1586	38
Carlos Concepcion	1134	149	957	1587	35
Mike Cooke	180	29	164	1588	NA
Jean-Francois Cossette	1294	171	1083	1589	38
Guy Jr Coutu	493	79	430	1590	38
Renato Dalboni	948	129	815	1591	38
Eric Daye	583	92	508	1592	35
Jeremiah Dekle	1206	159	1013	1593	37
Niki Demers	404	68	355	1594	34
John-Paul Di Fazio	1446	189	1192	1595	39
James Diaz	687	105	598	1597	37
Chad Dickinson	308	57	276	1598	39
Brian Dion	1599	203	1285	1599	35
Samantha Cochrane	786	28	100	159	34
Cody Dolly	316	59	283	1600	36
Jim Donnelly	559	88	487	1601	37
Eric H. Doss	2148	238	1603	1602	36
Jean-Daniel Dubois	210	35	191	1603	38
Jean-Francois Dupont	267	46	241	1604	35
Stanley Dymecki	DNF	NA	NA	1605	35
Fran Egan	135	22	121	1606	38
Arad Elahi	623	96	543	1607	35
John Figliolini	590	93	514	1609	36
Karim Fortes Lezama	1374	181	1138	1611	39
Bryan Fromstein	1373	180	1137	1612	37
Matthew Funston	996	137	855	1613	38
Shinichiro Fuse	1333	175	1113	1614	37
Matthew Galvin	1680	212	1334	1616	35
Vincenzo Garganese	1453	190	1196	1618	35
Jonathan Garneau	797	115	694	1619	37
Cindy Dubois	190	3	17	161	31
Gerardo Garza	789	113	688	1620	37
Jonathan Gauthier	974	132	838	1621	34
Jeremy Gheller	947	128	814	1622	37
Olivier Girouard	100	16	91	1624	35
Michael Glekel	2132	236	1596	1625	36
Claude Godmer	670	102	584	1626	34
Adam Golden	162	25	146	1627	39
J.C. Gould	1028	141	881	1628	39
William Gowin	DNF	NA	NA	1629	38
Raphaelle Harvey	363	14	45	162	34
Adam Granoff	1192	155	1001	1630	38
Jason Graveline	383	65	336	1631	38
Mathieu Grenier	DNF	NA	NA	1632	38
Patrick Griffin	269	47	243	1633	37
Timothy Grinnell	538	85	469	1634	39
George Hade	530	82	461	1635	36
Shane Harrison	389	67	340	1636	39
Lee Hart	265	44	239	1637	39
Joshua Hayden	1158	151	972	1638	34
Toby Lee Heath	1292	170	1081	1639	39
Nicole Mikhael	1089	41	164	163	34
Jay Hickey	258	42	233	1640	38
Brian Hudson	1375	182	1139	1641	34
Hector Jimenez	656	99	571	1642	39
Brian Joseph	1270	167	1064	1643	38
Masataka Kakitsu	1407	188	1164	1644	35
Jeffrey Kamai	DNF	NA	NA	1645	38
Jeffrey Krempa	1062	146	908	1646	38
Andy Kronschnabel	101	17	92	1647	38
Dany L'Abbee	2141	237	1601	1648	35
Christophe Laborde	454	75	397	1649	35
Denis Laflamme	536	84	467	1650	37
Siu Lam	1549	198	1253	1651	35
Jean-Alexandre Lambert	1242	163	1041	1652	38
Kevin Lamoureux	1509	193	1229	1653	36
David Langen	174	28	158	1654	37
Daniel Lansen	1642	209	1312	1655	34
Scott Lavigne	471	77	413	1656	37
Tae Lee	1674	211	1331	1657	37
Kevin Lee Chip Hing	1039	143	890	1658	36
Sebastien Lehmann	DNF	NA	NA	1659	34
Karen Robb	307	8	32	165	34
Benoit Lemieux	453	74	396	1660	36
